,epoch,d_fake_loss,d_real_loss,g_loss,d_loss
0,0,0.6068461537361145,0.7876389622688293,0.4573204815387726,1.3944851160049438
1,1,0.7880504131317139,0.6044384837150574,0.48487403988838196,1.392488956451416
2,2,0.6381196975708008,0.7506234049797058,0.48554128408432007,1.3887431621551514
3,3,0.634754478931427,0.7544060349464417,0.4841756224632263,1.3891605138778687
4,4,0.6412623524665833,0.7465767860412598,0.4820825457572937,1.3878390789031982
5,5,0.6522562503814697,0.7323615550994873,0.47786301374435425,1.384617805480957
6,6,0.6754496097564697,0.7003095149993896,0.4667370915412903,1.3757591247558594
7,7,0.7360055446624756,0.6192038059234619,0.4423069953918457,1.3552093505859375
8,8,0.9067067503929138,0.4503631591796875,0.459860622882843,1.357069969177246
9,9,0.8008931875228882,0.5256885886192322,0.46854591369628906,1.3265817165374756
10,10,0.733117938041687,0.5856679081916809,0.47035303711891174,1.3187859058380127
11,11,0.7189391255378723,0.5808857679367065,0.4656039774417877,1.2998249530792236
12,12,0.7597804069519043,0.5119096040725708,0.4669743776321411,1.271690011024475
13,13,0.8174425959587097,0.4434140920639038,0.48433855175971985,1.2608566284179688
14,14,0.7089436054229736,0.5119715929031372,0.5052171945571899,1.2209151983261108
15,15,0.5744165778160095,0.6281771659851074,0.5297908186912537,1.2025938034057617
16,16,0.5052324533462524,0.6465222239494324,0.5406370162963867,1.15175461769104
17,17,0.546776294708252,0.6006568670272827,0.5313937067985535,1.1474331617355347
18,18,0.5780421495437622,0.5344101190567017,0.5253756642341614,1.1124522686004639
19,19,0.5381140112876892,0.5432243347167969,0.5284826755523682,1.0813384056091309
20,20,0.511020302772522,0.5609358549118042,0.5306168794631958,1.0719561576843262
21,21,0.5080938935279846,0.5387148857116699,0.5407530665397644,1.0468087196350098
22,22,0.5234003067016602,0.49899476766586304,0.5575200915336609,1.022395133972168
23,23,0.5003541111946106,0.5032075643539429,0.5562137961387634,1.0035617351531982
24,24,0.45860356092453003,0.5299782752990723,0.5631974339485168,0.9885818362236023
25,25,0.4347386062145233,0.5255418419837952,0.5529373288154602,0.9602804183959961
26,26,0.4673308730125427,0.48225027322769165,0.5435851216316223,0.9495811462402344
27,27,0.4832155406475067,0.44568973779678345,0.5732688307762146,0.9289052486419678
28,28,0.4559441804885864,0.4571933448314667,0.5926000475883484,0.9131375551223755
29,29,0.39655566215515137,0.5109651684761047,0.5742679834365845,0.9075208306312561
30,30,0.40521669387817383,0.4727505147457123,0.5672596096992493,0.8779672384262085
31,31,0.45094776153564453,0.41930800676345825,0.579541802406311,0.8702557682991028
32,32,0.40226176381111145,0.4555807411670685,0.5841578841209412,0.8578425049781799
33,33,0.4249154329299927,0.4271480441093445,0.5897203683853149,0.8520634770393372
34,34,0.4107382893562317,0.41152602434158325,0.5895373225212097,0.8222643136978149
35,35,0.38637033104896545,0.4381699860095978,0.5719060301780701,0.8245403170585632
36,36,0.462964802980423,0.34730997681617737,0.601938784122467,0.8102747797966003
37,37,0.3207279145717621,0.4836162030696869,0.5664840340614319,0.804344117641449
38,38,0.45420774817466736,0.33155113458633423,0.5820389986038208,0.7857588529586792
39,39,0.42953750491142273,0.34743833541870117,0.6235801577568054,0.7769758701324463
40,40,0.3000209927558899,0.46562710404396057,0.5919870138168335,0.7656481266021729
41,41,0.35966864228248596,0.3703729212284088,0.591271162033081,0.7300415635108948
42,42,0.40772250294685364,0.3148100674152374,0.5975033044815063,0.7225325703620911
43,43,0.33002373576164246,0.3798527121543884,0.5798989534378052,0.7098764181137085
44,44,0.5071985125541687,0.23098216950893402,0.6018834114074707,0.7381806969642639
45,45,0.3866940140724182,0.31079182028770447,0.6222316026687622,0.6974858045578003
46,46,0.2527450919151306,0.4562087953090668,0.6094034910202026,0.708953857421875
47,47,0.32237231731414795,0.3556307256221771,0.6054292917251587,0.6780030727386475
48,48,0.34844812750816345,0.29376330971717834,0.6232932806015015,0.6422114372253418
49,49,0.34716731309890747,0.2830662131309509,0.6315669417381287,0.6302335262298584
50,50,0.2967085540294647,0.30159449577331543,0.6050360202789307,0.5983030796051025
51,51,0.4339263439178467,0.1663968861103058,0.6178404092788696,0.6003232002258301
52,52,0.342786967754364,0.229824498295784,0.6383783221244812,0.5726114511489868
53,53,0.24197733402252197,0.35479289293289185,0.624236524105072,0.5967702269554138
54,54,0.3830075263977051,0.1980268657207489,0.6114491820335388,0.5810344219207764
55,55,0.40070006251335144,0.19772124290466309,0.6370933651924133,0.5984213352203369
56,56,0.32960614562034607,0.26024380326271057,0.6293228268623352,0.5898499488830566
57,57,0.28238755464553833,0.2969508469104767,0.637313723564148,0.5793384313583374
58,58,0.280266135931015,0.28419259190559387,0.6334586143493652,0.5644587278366089
59,59,0.29927414655685425,0.21299538016319275,0.6483526825904846,0.5122694969177246
60,60,0.3241760730743408,0.1801432967185974,0.6448625326156616,0.5043193697929382
61,61,0.3304627239704132,0.16325846314430237,0.6416348218917847,0.4937211871147156
62,62,0.29916590452194214,0.16491609811782837,0.6392187476158142,0.4640820026397705
63,63,0.3154579699039459,0.12967906892299652,0.6394742727279663,0.44513702392578125
64,64,0.28944131731987,0.14792516827583313,0.6511446237564087,0.4373664855957031
65,65,0.22222565114498138,0.20053401589393616,0.640518307685852,0.42275965213775635
66,66,0.287474662065506,0.13180910050868988,0.6621672511100769,0.41928374767303467
67,67,0.2956847846508026,0.1200026422739029,0.6538602113723755,0.4156874418258667
68,68,0.20625369250774384,0.2681668698787689,0.6190715432167053,0.47442054748535156
69,69,0.5427232384681702,0.06544382870197296,0.6118062734603882,0.6081670522689819
70,70,0.4481133818626404,0.2168704867362976,0.5976957678794861,0.664983868598938
71,71,0.397909551858902,0.26336026191711426,0.5905425548553467,0.6612697839736938
72,72,0.3965291976928711,0.3034442067146301,0.5855018496513367,0.6999734044075012
73,73,0.37089768052101135,0.28772255778312683,0.5984086990356445,0.6586202383041382
74,74,0.3823152482509613,0.24182389676570892,0.5980863571166992,0.624139130115509
75,75,0.4419645071029663,0.21064625680446625,0.5956505537033081,0.6526107788085938
76,76,0.43489906191825867,0.174002543091774,0.6040635704994202,0.6089016199111938
77,77,0.3849833011627197,0.19727551937103271,0.6170248985290527,0.5822588205337524
78,78,0.3277174234390259,0.24310708045959473,0.6320676207542419,0.5708245038986206
79,79,0.28971099853515625,0.26973265409469604,0.6404038071632385,0.5594436526298523
80,80,0.2681734561920166,0.2638375759124756,0.6412746906280518,0.5320110321044922
81,81,0.28339874744415283,0.23545727133750916,0.6413082480430603,0.5188560485839844
82,82,0.30277159810066223,0.18115650117397308,0.6380271911621094,0.4839280843734741
83,83,0.3501512110233307,0.1456369161605835,0.6420590877532959,0.4957881271839142
84,84,0.31562426686286926,0.15661393105983734,0.6417836546897888,0.4722381830215454
85,85,0.2651117444038391,0.1957307755947113,0.6397115588188171,0.4608425199985504
86,86,0.23532842099666595,0.21175318956375122,0.6477537751197815,0.44708162546157837
87,87,0.24787671864032745,0.1891588568687439,0.643021821975708,0.43703556060791016
88,88,0.26531052589416504,0.15315192937850952,0.6544082164764404,0.41846245527267456
89,89,0.26246580481529236,0.13863658905029297,0.6519420742988586,0.4011023938655853
90,90,0.26235565543174744,0.1480644941329956,0.6556732654571533,0.41042014956474304
91,91,0.22845256328582764,0.15414653718471527,0.6473159790039062,0.3825991153717041
92,92,0.24605987966060638,0.1285196840763092,0.6624264121055603,0.3745795488357544
93,93,0.24716632068157196,0.10652527213096619,0.6668095588684082,0.35369157791137695
94,94,0.2681911289691925,0.09375452995300293,0.6610212922096252,0.36194565892219543
95,95,0.16408637166023254,0.2281787246465683,0.6435669660568237,0.39226508140563965
96,96,0.30414023995399475,0.08523714542388916,0.6322951912879944,0.3893773853778839
97,97,0.33969202637672424,0.07149611413478851,0.6419894099235535,0.41118812561035156
98,98,0.24116189777851105,0.13173359632492065,0.6505904793739319,0.3728954792022705
99,99,0.18789361417293549,0.17219127714633942,0.6671783924102783,0.3600848913192749
